player,country,age,attack,block,serve,set,dig,receive,position
Fedusio,POL,24,4.25,0.5,0.25,0.0,2.0,1.5,OH
Degradi,ITA,28,4.22,0.67,0.0,0.0,1.56,1.22,OH
Tainara,BRA,24,4.0,0.5,0.5,0.0,1.5,0.0,OP
Hall,USA,25,4.0,0.4,0.8,0.0,1.6,0.0,MB
Guillen,DOM,23,4.0,0.33,0.33,0.0,2.33,0.67,OH
M. Jasper,NED,28,3.89,0.44,0.44,0.0,5.67,2.44,OH
Ndiaye,FRA,22,3.89,0.44,0.33,0.0,1.56,0.0,OP
Julia Kudiess,BRA,21,3.75,2.0,0.25,0.0,1.5,0.0,MB
O'Neal,USA,24,3.67,1.33,0.0,0.0,2.33,0.0,MB
Dahyeon,KOR,22,3.67,1.33,0.22,0.0,2.33,0.22,MB
Yamada,JPN,24,3.44,1.33,0.89,0.11,3.11,0.44,MB
Diana,BRA,25,3.25,2.25,0.38,0.0,1.38,0.12,MB
White,CAN,30,3.22,1.44,0.56,0.0,2.11,0.44,MB
Osmajic,SRB,21,3.22,2.11,0.22,0.0,1.11,0.11,MB
Mijatović,SRB,22,3.2,0.8,0.2,0.0,1.0,0.4,OH
Weske,GER,23,3.2,0.6,0.6,0.0,0.8,0.0,OP
Carol,BRA,33,3.12,3.12,0.38,0.0,1.5,0.0,MB
Krivoshiyska,BUL,22,3.11,1.22,0.67,0.0,2.11,0.44,MB
Tapia,DOM,20,3.11,0.56,0.33,0.0,2.56,0.0,OP
Kalaç,TUR,28,3.0,1.62,0.38,0.0,1.38,0.12,MB
Bauer,FRA,36,3.0,0.6,1.0,0.0,1.6,0.0,MB
Ogbogu,USA,29,3.0,1.56,0.22,0.0,1.11,0.0,MB
Akrari,ITA,30,3.0,1.0,0.25,0.0,1.0,0.25,MB
B. Saykova,BUL,24,3.0,1.0,0.62,0.0,2.0,0.0,MB
Plak,NED,28,3.0,0.44,0.11,0.0,2.33,0.0,OP
Schölzel,GER,27,3.0,0.78,0.33,0.0,0.89,0.0,MB
Kurtagić,SRB,19,3.0,4.12,0.25,0.0,3.0,0.12,MB
Lanier,USA,25,3.0,0.0,0.0,0.0,2.5,0.0,OH
Juah,KOR,24,3.0,1.22,0.44,0.0,2.0,0.11,MB
Timmerman,NED,25,2.89,1.56,0.44,0.0,2.56,0.22,MB
Cekulaev,GER,21,2.89,1.0,0.33,0.0,1.22,0.0,MB
Alagierska,POL,28,2.88,1.25,0.25,0.0,1.5,0.0,MB
Haewegene,FRA,29,2.8,0.4,0.0,0.0,1.8,1.2,OH
Peralta,DOM,25,2.78,0.0,0.22,0.0,2.44,1.67,OH
Araki,JPN,22,2.78,1.22,0.11,0.0,1.22,0.0,MB
